,ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC,peak1_period,peak2_period,peak3_period,peak1_amp,peak2_amp,peak3_amp,num_sigpeaks
119,500.3547384,724,1.580747209,0.004823811,642.438901,164.3080106,0.814118846,50.78513738,1.0,0.19,34.78,0.07,L,203955457,383.8106390999997,27.41504564999998,38.38106390999997,0.901003208282247,0.06841969116380742,0.2060977183448161,3
120,78.42154226,15,1.180562803,0.40772766899999996,38.01588844,14.63627401,0.797725182,3.415991398,0.53,0.24,0.68,0.09,MP,203956650,378.7026374999982,27.050188392857017,47.33782968749978,0.22543798988482436,0.1423745805045588,0.08124888595839347,3
121,251.827494,35,2.13858295,0.018638274,188.7861477,42.36869451,0.667453079,48.16885146,0.88,0.51,15.94,0.41,APD,203962599,42.645628477777734,383.81065629999966,1000.0,0.01346996480112838,0.03162266202312203,1000.0,2
122,288.69267080000003,37,2.772016128,0.030807183,181.6267092,51.652995000000004,0.74941465,57.84661634,0.74,0.68,4.9,0.44,QPD,203969672,383.60633904999986,20.189807318421046,29.508179926923063,0.0364697752783284,0.03906128747241067,0.08046889716594581,3
123,1211.771731,39,1.063394578,0.010253904,2124.046092,303.3219339,0.813153518,404.5409147,0.45,0.07,3.38,0.04,QPS,203969721,383.70849335,22.571087844117653,38.370849335,0.22980153922864957,0.031402343957709855,0.12009025206762715,3
124,22.66770362,13,1.115964465,0.250817754,13.28282174,6.49995078,0.807028106,5.112634234,0.84,0.14,3.68,0.31,S,203971352,27.050187889285713,8.41561401,378.70263045,0.020592315899021694,0.044751109511124126,0.008705858553614708,3
125,241.0279941,59,1.146252169,0.033772504,535.9083469999999,88.31871979,0.838786795,77.70301764,0.23,0.12,6.41,0.04,QPS,203972079,383.8106274500001,23.988164215625005,18.2766965452381,0.14778557385179106,0.006903570644518746,0.0069739629034841,1
126,1305.011364,8,0.829107705,0.028161858999999997,644.290609,570.6703871,0.85211885,55.51970374,0.09,-0.07,0.82,0.11,P,203981774,191.90532224999973,25.587376299999963,38.38106444999994,0.09476134520851556,0.0076384125586687335,0.018450787668468825,2
127,190.0320171,755,2.220291994,0.015899922,187.96769619999998,76.14229179,0.85804033,10.71893877,1.0,0.07,78.76,0.08,L,203982074,191.9053201500003,38.38106403000006,25.587376020000036,0.9778840860616227,0.19933414745075972,0.06822405443132402,3
128,452.34309460000003,656,1.81596326,0.01337005,848.6762656999999,154.18405959999998,0.851042227,98.2763293,0.57,0.09,6.41,0.04,QPS,203987773,191.9053214999997,38.38106429999994,25.58737619999996,0.7819488432715407,0.15521134157696437,0.043589489386808955,3
129,3219.394502,40,2.4404754090000003,0.003608653,2335.878153,771.0105427999999,0.7138183640000001,844.4593837000001,0.53,0.67,5.1,0.41,QPD,203995761,383.7085107500002,1000.0,1000.0,0.003193549183206078,1000.0,1000.0,0
130,105.1737746,19,0.463374753,0.203713804,67.48784504,15.46913936,0.772883975,8.910142429,0.69,-0.31,1.41,0.06,QPS,204078097,127.93682579999995,31.984206449999988,15.352419095999993,0.329754449515807,0.06053986222514529,0.023108651421110495,3
131,269.9075771,11,0.698569143,0.360769425,171.0100325,42.23391546,0.061269239,20.97931148,0.6,-0.21,1.66,0.05,QPS,204094503,3.641369727884624,4.028749486170222,4.508362520238106,0.7738409127701533,0.7615497670523032,0.745262029889867,3
132,95.17678167,14,1.480205939,0.16833312399999997,61.92227057,9.49704517,0.6951351640000001,5.677684362999999,0.88,0.55,3.23,0.13,APD,204107757,383.2996629499985,22.547038997058735,31.941638579166536,0.09579225890284856,0.05719201087172198,0.08199505714812708,3
133,54.2088121,10,1.117078088,0.668078932,24.65779263,7.94150473,0.774788202,4.091628421,0.61,0.06,1.21,0.11,QPS,204108293,63.96840935000001,21.32280311666667,1000.0,0.10676480830978362,0.017765448411846244,1000.0,2
