ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC
452.3430946,656,1.81596326,0.01337005,848.6762657,154.1840596,0.851042227,98.2763293,0.57,0.09,6.41,0.04,QPS,203987773
3219.394502,40,2.440475409,0.003608653,2335.878153,771.0105428,0.713818364,844.4593837,0.53,0.67,5.1,0.41,QPD,203995761
105.1737746,19,0.463374753,0.203713804,67.48784504,15.46913936,0.772883975,8.910142429,0.69,-0.31,1.41,0.06,QPS,204078097
269.9075771,11,0.698569143,0.360769425,171.0100325,42.23391546,0.061269239,20.97931148,0.6,-0.21,1.66,0.05,QPS,204094503
95.17678167,14,1.480205939,0.168333124,61.92227057,9.49704517,0.695135164,5.677684363,0.88,0.55,3.23,0.13,APD,204107757
54.2088121,10,1.117078088,0.668078932,24.65779263,7.94150473,0.774788202,4.091628421,0.61,0.06,1.21,0.11,QPS,204108293
20804.14144,17,0.641137118,0.035155532,8479.433431,3957.281553,0.785708044,3647.631801,0.85,-0.35,10.67,0.98,B,204130613
2573.094724,22,9.243965792,0.005491537,1699.177237,210.9213671,0.649555664,696.3191702,0.58,1.24,2.63,0.21,QPD,204137184
4110.097815,40,1.462249748,0.005434215,2796.006938,862.7537612,0.671828896,823.3196742,0.58,0.3,6.94,0.42,QPD,204142243
36754.89208,19,1.209484044,0.006600159,69143.15426,13029.06722,0.840696205,6050.59772,0.42,0.11,1.72,0.05,QPS,204147776
3389.513629,25,0.643280156,0.004137261,2994.931494,997.8728167,0.80360754,1359.086872,0.46,-0.2,2.81,0.13,QPS,204160652
2013.597926,306,0.307788311,0.037799142,1271.097747,354.6783979,0.750054655,219.9748781,1,-0.55,28.18,0.12,B,204161056
62109.26689,51,2.310690418,0.002759087,52332.93731,17986.60514,0.776338777,15513.80532,0.91,0.63,7.93,0.54,APD,204176565
10630.6539,473,3.014425263,0.041774753,8023.366279,2003.205474,0.763678669,979.2875111,0.72,-0.19,2.21,0.4,QPS,204181799
1924.186093,57,0.94844226,0.001968132,1879.737518,1158.755387,0.844906788,765.3956729,0.04,-0.04,6.76,0.14,P,204182919
4687.615417,58,0.808017277,0.004239876,4455.308791,1482.49015,0.738546734,1085.978873,1,-0.14,17.2,1.62,S,204187094
8995.426754,63,0.825092968,0.020376082,7468.850541,2223.44703,0.78888633,1792.370985,0.75,-0.22,5.95,0.07,B,204187469
